date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:22:33	153329/153329	---M--	200	added ('OK')	image/jpeg	etag:%22256f1-5820ab1b0ef80%22	https://preview.colorlib.com/theme/roberto/img/bg-img/49.jpg	D:/Python/Lessons/Roberto/Roberto/preview.colorlib.com/theme/roberto/img/bg-img/49.jpg	(from https://preview.colorlib.com/theme/roberto/single-room.html)
21:22:33	81184/81184	---M--	200	added ('OK')	image/jpeg	etag:%2213d20-5820ab1fd3ac0%22	https://preview.colorlib.com/theme/roberto/img/bg-img/50.jpg	D:/Python/Lessons/Roberto/Roberto/preview.colorlib.com/theme/roberto/img/bg-img/50.jpg	(from https://preview.colorlib.com/theme/roberto/single-room.html)
21:22:34	136464/136464	---M--	200	added ('OK')	image/jpeg	etag:%2221510-5820ab22b0180%22	https://preview.colorlib.com/theme/roberto/img/bg-img/52.jpg	D:/Python/Lessons/Roberto/Roberto/preview.colorlib.com/theme/roberto/img/bg-img/52.jpg	(from https://preview.colorlib.com/theme/roberto/single-room.html)
21:22:35	717/717	---M--	200	added ('OK')	image/png	etag:%222cd-5820ab36b70c0%22	https://preview.colorlib.com/theme/roberto/img/core-img/icon1.png	D:/Python/Lessons/Roberto/Roberto/preview.colorlib.com/theme/roberto/img/core-img/icon1.png	(from https://preview.colorlib.com/theme/roberto/single-room.html)
21:22:35	1340/1340	---M--	200	added ('OK')	image/png	etag:%2253c-5820ab37ab300%22	https://preview.colorlib.com/theme/roberto/img/core-img/icon2.png	D:/Python/Lessons/Roberto/Roberto/preview.colorlib.com/theme/roberto/img/core-img/icon2.png	(from https://preview.colorlib.com/theme/roberto/single-room.html)
21:22:35	170725/170725	---M--	200	added ('OK')	image/jpeg	etag:%2229ae5-5820ab22b0180%22	https://preview.colorlib.com/theme/roberto/img/bg-img/51.jpg	D:/Python/Lessons/Roberto/Roberto/preview.colorlib.com/theme/roberto/img/bg-img/51.jpg	(from https://preview.colorlib.com/theme/roberto/single-room.html)
21:22:35	1906/1906	---M--	200	added ('OK')	image/png	etag:%22772-5820ab37ab300%22	https://preview.colorlib.com/theme/roberto/img/core-img/icon3.png	D:/Python/Lessons/Roberto/Roberto/preview.colorlib.com/theme/roberto/img/core-img/icon3.png	(from https://preview.colorlib.com/theme/roberto/single-room.html)
21:22:36	416/416	---M--	200	added ('OK')	image/png	etag:%221a0-5820ab389f540%22	https://preview.colorlib.com/theme/roberto/img/core-img/icon4.png	D:/Python/Lessons/Roberto/Roberto/preview.colorlib.com/theme/roberto/img/core-img/icon4.png	(from https://preview.colorlib.com/theme/roberto/single-room.html)
21:22:37	1214/1214	---M--	200	added ('OK')	image/png	etag:%224be-5820ab3993780%22	https://preview.colorlib.com/theme/roberto/img/core-img/icon5.png	D:/Python/Lessons/Roberto/Roberto/preview.colorlib.com/theme/roberto/img/core-img/icon5.png	(from https://preview.colorlib.com/theme/roberto/single-room.html)
21:22:37	1949/1949	---M--	200	added ('OK')	image/png	etag:%2279d-5820ab3993780%22	https://preview.colorlib.com/theme/roberto/img/core-img/icon6.png	D:/Python/Lessons/Roberto/Roberto/preview.colorlib.com/theme/roberto/img/core-img/icon6.png	(from https://preview.colorlib.com/theme/roberto/single-room.html)
21:22:38	3419/3419	---M--	200	added ('OK')	image/jpeg	etag:%22d5b-5820ab23a43c0%22	https://preview.colorlib.com/theme/roberto/img/bg-img/53.jpg	D:/Python/Lessons/Roberto/Roberto/preview.colorlib.com/theme/roberto/img/bg-img/53.jpg	(from https://preview.colorlib.com/theme/roberto/single-room.html)
21:22:38	3454/3454	---M--	200	added ('OK')	image/jpeg	etag:%22d7e-5820ab23a43c0%22	https://preview.colorlib.com/theme/roberto/img/bg-img/54.jpg	D:/Python/Lessons/Roberto/Roberto/preview.colorlib.com/theme/roberto/img/bg-img/54.jpg	(from https://preview.colorlib.com/theme/roberto/single-room.html)
21:22:39	3326/3326	---M--	200	added ('OK')	image/jpeg	etag:%22cfe-5820ab2498600%22	https://preview.colorlib.com/theme/roberto/img/bg-img/55.jpg	D:/Python/Lessons/Roberto/Roberto/preview.colorlib.com/theme/roberto/img/bg-img/55.jpg	(from https://preview.colorlib.com/theme/roberto/single-room.html)
21:22:40	38796/38796	---M--	200	added ('OK')	image/jpeg	etag:%22978c-5820aaf9ae0c0%22	https://preview.colorlib.com/theme/roberto/img/bg-img/24.jpg	D:/Python/Lessons/Roberto/Roberto/preview.colorlib.com/theme/roberto/img/bg-img/24.jpg	(from https://preview.colorlib.com/theme/roberto/blog.html)
21:22:41	59747/59747	---M--	200	added ('OK')	image/jpeg	etag:%22e963-5820aafb96540%22	https://preview.colorlib.com/theme/roberto/img/bg-img/25.jpg	D:/Python/Lessons/Roberto/Roberto/preview.colorlib.com/theme/roberto/img/bg-img/25.jpg	(from https://preview.colorlib.com/theme/roberto/blog.html)
